diagonal.n.04 mathematicalconcept
haziness.n.02 atmosphericcondition
molecular_biology.n.01 fieldofstudy
millennium.n.02 religiousconcept
elettaria.n.01 plant
develop.v.13 process
distribute.v.04 action
wolframite.n.01 mineral
work.v.19 influencingaction
travel.v.01 action
fragaria.n.01 fruit
exodus.n.02 biblicalbook
leitneria.n.01 plantspecies
administrator.n.03 governmentofficial
ill_health.n.01 healthcondition
dead_nettle.n.02 botanicalspecies
france.n.01 country
massage.n.01 therapeuticpractice
stamp.n.02 class
negate.v.03 action
power_line.n.01 electricalinfrastructure
arabidopsis.n.01 plantgenus
dawn.n.01 temporalphenomenon
depute.v.02 action
fertilization.n.02 process
smut.n.03 fungus
monster.n.04 person
casuistry.n.01 argumentation
crown.n.12 structuralfeature
alkali.n.02 chemicalsubstance
winged_elm.n.01 treespecies
menstruation.n.01 biologicalprocess
sponge.v.05 activity
skirt.n.02 clothing
demineralize.v.01 chemicalprocess
cottonwood.n.01 treespecies
rape.n.01 crop
democracy.n.01 politicalsystem
reputable.a.01 quality
bleaching_agent.n.01 chemicalsubstance
ballyhoo.n.01 promotion
preemption.n.01 legalprinciple
idle.v.02 stateofbeing
familiarity.n.05 socialinteraction
sinningia.n.01 plantgenus
precede.v.02 event
grantee.n.01 entity
riser.n.01 person
transducer.n.01 electricaldevice
loiseleuria.n.01 plantspecies
hieroglyph.n.02 writingsystem
tasteless.a.02 aestheticvalue
savor.v.03 action
lunge.n.02 fencingmovement
flageolet.n.02 musicalinstrument
capitulation.n.03 action
vaporization.n.02 process
percolate.v.05 process
filipino.n.01 person
bigeye_scad.n.01 fishspecies
local_department.n.01 localgovernmentdepartment
hankering.n.01 desire
rouge.n.01 cosmeticproduct
stream.v.01 movementaction
dilate.v.01 action
sundacarpus_amara.n.01 tree
mexican.n.01 person
hyacinth.n.02 plant
sole.n.04 marinespecies
sentience.n.03 consciousness
attica.n.01 historicalregion
vetch.n.01 plant
desmograthus.n.01 amphibiangenus
ricinus.n.01 genus
eastern_ground_snake.n.01 species
dinoflagellata.n.01 phylum
miner.n.01 occupation
tartuffe.n.01 characterarchetype
theatrical_production.n.01 theatricalperformance
transistor.n.01 semiconductordevice
chamber.n.02 biologicalstructure
immigration_and_naturalization_service.n.01 governmentagency
protest.v.01 protestaction
rhyme.v.02 linguisticaction
pieris.n.01 plant
block.v.06 medicalprocedure
by-bid.v.01 action
wild_licorice.n.02 plant
melon.n.01 fruit
sophism.n.01 logicalfallacy
home_counties.n.01 geographicalregion
pulmonary_tuberculosis.n.01 pulmonarydisease
alcoholize.v.02 process
clemens.n.01 person
plant_product.n.01 plantproduct
compact_disk.n.01 opticaldisc
abreact.v.01 psychologicalprocess
cat.v.01 physicalaction
bedspring.n.01 furniture
crash_land.v.01 emergencylandingaction
budget.n.02 financialplan
subpoena.n.01 legaldocument
melanotis.n.01 genus
aphorism.n.01 saying
stone_pine.n.01 treespecies
guilt.n.01 emotionalstate
biscayne_bay.n.01 geographiclocation
alisma.n.01 genus
triga.n.01 genus
sanvitalia.n.01 plantgenus
worth.n.02 valuablequality
young_buck.n.01 youngadultmale
isolation.n.04 psychologicaldefensemechanism
common_gum_cistus.n.01 plantspecies
mastopexy.n.01 medicalprocedure
domesticate.v.01 process
false.a.01 falsehood
handle.v.06 action
investigate.v.01 scientificresearchactivity
move.v.16 action
wide.a.01 dimension
dispose.v.04 action
knit.v.02 action
langley.n.02 astronomerandaviationpioneer
speciate.v.01 biologicalprocess
node.n.03 plantanatomy
repercuss.v.01 event
pardoner.n.02 medievalcleric
injury.n.04 physicaldamageevent
alone.s.04 uniqueentity
water_shamrock.n.01 perennialplant
tracheophyta.n.01 vascularplant
crichton.n.01 person
genus_bougainvillea.n.01 plant
activeness.n.02 trait
accept.v.02 action
deposit.v.02 financialtransaction
calopogon.n.01 orchid
grass_pink.n.01 orchid
field-test.v.01 testingprocess
short-change.v.01 financialdeception
accountantship.n.01 professionalrole
emplace.v.01 militaryoperation
range.n.06 variety
amphisbaenidae.n.01 reptile
distributive.a.01 distributionmechanism
sack.n.01 shoppingbag
cordylidae.n.01 reptilefamily
frame.v.01 action
tearaway.n.01 person
attire.n.01 clothing
bottom.n.01 surface
dome.n.04 architecturalstructure
erysiphales.n.01 fungi
chain.n.10 jewelry
library.n.02 library
organelle.n.01 cellcomponent
pastorship.n.01 role
honorable.a.02 valuablequality
dynamite.n.01 explosivematerial
south_african.n.01 person
turn.v.08 physicalaction
anas.n.01 genus
monocytic_leukemia.n.01 disease
end.v.04 action
flash.n.02 phenomenon
slant.v.02 biaspresentation
accredit.v.01 credentialingaction
diffident.a.02 personalitytrait
cartilaginous_structure.n.01 bodystructure
pool.n.06 waterbody
writing.n.03 literarywork
clergy.n.01 religiousgroup
post.n.05 person
dangerous.a.01 riskfactor
see.v.10 actionintent
homologize.v.02 action
execution.n.06 process
flourish.n.04 gesture
coccid_insect.n.01 insect
home.n.01 place
art.n.01 creativework
enchantress.n.02 magicalbeing
retention.n.01 process
ford.n.05 person
deliver.v.01 action
teacher.n.01 educationalprofessional
nightwear.n.01 sleepwear
summation.n.04 mathematicaloperation
sinhalese.n.01 ethnicgroup
dopamine.n.01 neurotransmitter
sequence.n.03 filmsequence
realist.n.03 artist
kidnap.v.01 criminalaction
myrmeleon.n.01 genus
lepas.n.01 genus
tetrachloride.n.01 chemicalcompound
retriever.n.01 dogbreed
convey.v.03 action
savage.v.01 action
ferret.v.02 activity
possession.n.01 ownership
scrape.v.05 resourcegatheringaction
company.v.01 socialinteraction
trachea.n.01 anatomicalstructure
cannon.n.03 protectivegear
melted.a.01 phasechange
baleen_whale.n.01 marinemammal
preceptorship.n.01 employedposition
manor.n.01 mansion
predomination.n.02 quality
pavement.n.01 roadsurface
repression.n.03 socialcontrol
accommodate.v.04 action
vein.n.01 bloodvessel
trojan.n.01 ancientcityinhabitants
mongrelize.v.01 action
advertising_campaign.n.01 advertisingcampaign
ichthyosauridae.n.01 marinereptilefamily
arthropod_family.n.01 biologicaltaxon
antimalarial.n.01 medicinaldrug
sea_nymph.n.01 mythologicalcreature
integrity.n.02 moralquality
baste.v.01 cookingtechnique
giant.n.01 mythicalcreature
cruciferae.n.01 plantfamily
roast.n.01 fooditem
soft-shelled_turtle.n.01 aquaticreptile
engine.n.01 machine
orthoptera.n.01 insectorder
joy.n.01 emotion
nitrification.n.02 biogeochemicalprocess
name.n.03 patrilinealfamily
reduction.n.03 process
female_internal_reproductive_organ.n.01 reproductiveorgan
dynamiter.n.01 revolutionary
printing.n.02 printingindustry
stanleya.n.01 plant
theosophy.n.01 philosophicalbeliefsystem
carry.v.34 action
snuff-color.n.01 color
infancy.n.01 developmentalstage
telex.v.01 communicationmethod
chaser.n.02 beverage
lesser_panda.n.01 carnivore
williams.n.05 historicalfigure
press.v.01 action
lutjanidae.n.01 fishfamily
vinification.n.01 wineproductionprocess
mekong.n.01 river
bestiality.n.02 sexualact
sterculia.n.01 tree
vinyl_polymer.n.01 vinylpolymer
lap.v.03 action
batting.n.01 baseballaction
enderby_land.n.01 geographicalregion
jolson.n.01 person
catalyze.v.01 process
grieve.v.01 emotionalstate
league.n.03 distancemeasurementunit
fight.n.05 sportingevent
mutant.n.02 animal
biu-mandara.n.01 language
derive.v.03 process
tremor.n.02 geologicalevent
cnemidophorus.n.01 reptile
broom.n.02 plant
nanning.n.01 city
procedure.n.04 legalprocedure
round_shape.n.01 geometricshape
crazy.n.01 person
ballota.n.01 plant
styphelia.n.01 plantspecies
push-button_radio.n.01 radioreceiver
radon.n.01 radioactivegas
clean_out.v.02 action
rheostat.n.01 electricalcomponent
counterpart.n.02 copy
bobsled.n.01 sportingequipment
polar_circle.n.01 geographicfeature
cast.n.07 action
tie.v.01 action
circumscription.n.01 action
military_formation.n.01 militaryformation
travel.v.02 action
genus_salvia.n.01 plantgenus
infructescence.n.01 biologicalprocess
fetterbush.n.02 plant
paster.n.01 pastingworker
north_atlantic_treaty_organization.n.01 internationalorganization
ethicist.n.01 ethicist
fiver.n.01 currencynote
galvanic_skin_response.n.01 physiologicalresponse
imprudence.n.01 concept
headway.n.02 progress
input.v.01 datainputaction
regent.n.01 governingboardmember
disadvantage.n.01 socialcomparisonfactor
soy.n.04 plant-basedproteinsource
astringent.n.01 pharmacologicalagent
turn_out.v.04 outcome
intension.n.01 cognitiveconcept
dry.n.01 socialactivist
unfriendliness.n.02 socialattitude
blastoderm.n.01 biologicalstructure
verbalize.v.01 communicationaction
acrylic.n.02 thermoplasticmaterial
standard_cell.n.01 electrochemicalstandard
mihrab.n.02 islamicarchitecture
convict.v.01 legalaction
girdle.n.01 ringstructure
crimea.n.01 geographiclocation
diacritical_mark.n.01 linguisticfeature
wince.n.01 facialexpression
dapple-grey.n.01 coatpattern
construct.v.01 action
sheath.n.01 protectivecovering
tabernaemontana.n.01 plant
represent.v.12 representation
trainee.n.01 trainee
winteraceae.n.01 plantfamily
spice.v.01 culinaryaction
cruelty.n.02 emotionalstate
swallow.v.01 action
choker.n.04 clothingaccessory
survivor.n.03 animal
originate.v.02 process
worst.v.01 competitor
hefa.n.01 port
aphasmidia.n.01 aphasmidia
capitalist.n.02 businessinvestor
fear.n.01 emotion
passage.n.02 textsection
foal.n.01 younganimal
aristotle.n.01 philosopher
boulder.n.01 naturalobject
jack.n.10 liftingtool
fishing_boat.n.01 fishingvessel
cyprinid.n.01 fish
ventilate.v.03 action
hit.v.01 action
disposition.n.01 psychologicalstate
segment.v.01 action
sleep.n.03 sleepperiod
unsound.a.02 financialrisk
elimination_tournament.n.01 eliminationtournament
percophidae.n.01 fish
choking.n.02 action
calculus.n.01 medicalcondition
green_gentian.n.01 plant
potholer.n.01 caveexplorer
serviceable.a.01 functionalcapability
discover.v.04 action
dine.v.01 culinaryactivity
roll.v.18 physicalaction
singularity.n.01 uniquequality
convey.v.04 propertytransfer
germ.n.02 organism
expense.n.01 financialtransaction
microphone.n.01 audiodevice
power_saw.n.01 powertool
mahayanist.n.01 person
biped.n.01 animal
hospitalization.n.04 medicalprocedure
sparrow.n.01 bird
handbuild.v.01 artisantechnique
plain.n.01 geographicfeature
sphecius.n.01 cicadakillerwasp
jacket.n.01 apparel
murder.v.01 criminalact
come_around.v.02 event
gemfibrozil.n.01 medication
pterocnemia.n.01 genus
enumeration.n.01 list
confusion.n.05 cognitivestate
pour.v.01 action
rancher.n.01 person
marcher.n.02 person
dimness.n.03 quality
painter.n.02 painter
sensitize.v.01 action
involution.n.06 process
sumatra.n.01 geographicallocation
slap.v.01 physicalaction
post.v.08 equestrianactivity
thistle.n.01 plant
marine_mussel.n.01 marineorganism
pearly_everlasting.n.01 plantspecies
subgenus.n.01 biologicaltaxon
horse_wrangler.n.01 cowboy
eryngium.n.01 plant
chevalier.n.01 culturalfigure
assets.n.01 financialasset
abrader.n.01 tool
west_malaysia.n.01 geographicalregion
oujda.n.01 city
potential.a.01 possibility
artaxerxes_i.n.01 historicalfigure
garambulla.n.01 cactus
playlet.n.01 theatricalwork
financier.n.01 financialprofessional
top-up.n.01 financialadjustment
genus_gloriosa.n.01 plantgenus
miter.v.03 carpentryaction
chorion.n.01 biologicalstructure
skin_care.n.01 skincare
pickup.n.09 transportaction
reduplicate.v.01 process
anagram.n.01 wordformation
cenobite.n.01 religiouscommunitymember
prey.v.01 exploitation
cognition.n.01 cognitiveprocess
agaricus.n.01 fungigenus
obsession.n.02 psychologicalcondition
develop.v.15 chemicalprocess
pace.n.04 physicalactivitymeasurement
misgiving.n.03 emotionalstate
ambiguity.n.02 concept
anchovy_pear.n.01 plant
eskimo-aleut.n.01 languagefamily
plane.n.04 powertool
kahikatea.n.01 treespecies
plagioclase.n.01 mineral
reptilia.n.01 reptile
fuel.v.01 energyprovision
polony.n.01 sausage
glyceryl_ester.n.01 chemicalcompound
lubricate.v.03 action
titania.n.02 mythologicalfigure
communization.n.02 politicalsystem
enteron.n.01 biologicalstructure
portland.n.01 city
berth.n.03 sleepingaccommodation
editor_program.n.01 softwareapplication
distortion.n.01 negativechange
toweling.n.01 fabric
score.n.03 gamescore
telling.n.02 communicativeaction
inaction.n.01 state
lunaria.n.01 plant
tend.v.01 behavior
car_door.n.01 cardoor
rhizobiaceae.n.01 bacterialfamily
anemometer.n.01 meteorologicalinstrument
philosopher.n.01 philosopher
pot.n.06 gamepot
sicken.v.02 medicalcondition
divorcee.n.01 person
cacao.n.01 plant
harvest.n.03 agriculturalactivity
bonito.n.03 fish
generalization.n.04 psychologicalconcept
peccable.s.01 moralquality
track_star.n.01 athlete
sash_weight.n.01 counterweight
ethnic.n.01 ethnicperson
chili_powder.n.01 spice
pindolol.n.01 medication
blot.v.01 action
casualty.n.01 militaryperson
wordbook.n.01 referencebook
paul_iii.n.01 pope
klystron.n.01 electronicdevice
appropriateness.n.01 socialnorm
cardiac_muscle.n.01 cardiacmuscletissue
orthopterous_insect.n.01 insect
cardamom.n.01 herb
unexchangeability.n.01 quality
cross.n.04 suffering
bubbliness.n.01 quality
stamp.v.04 action
sunnah.n.01 islamicpractice
virgin_islands.n.01 geographiclocation
fall.v.21 relationalconcept
card.v.02 ageverificationaction
bambuseae.n.01 plant
anticholinesterase.n.01 pharmaceutical
mako.n.01 sharkspecies
accent.n.05 diacriticalmark
western_diamondback.n.01 snake
genus_anhinga.n.01 biologicaltaxon
kennedia.n.01 genus
corset.v.01 fashionaction
bayonne.n.01 city
catapult.v.01 action
prophetess.n.01 prophetess
propitiate.v.01 action
miracle_man.n.01 miracleworker
murder.n.01 criminalact
damper.n.02 mechanicaldevice
policeman.n.01 policeofficer
fils.n.02 currencyunit
chauvinism.n.01 ideology
stage_manager.n.01 stagemanager
argyranthemum.n.01 plantspecies
security.n.04 financialinstrument
trollius.n.01 herb
memory_device.n.01 memorydevice
censure.n.01 criticism
distrust.n.02 trait
scrub_pine.n.01 plantspecies
swagman.n.01 australianlaborer
zucchini.n.01 vegetable
marasmius.n.01 mushroom
pilgrim.n.03 religiousperson
work_time.n.01 workperiod
char.v.01 process
uproot.v.03 action
strigidae.n.01 familyofbirds
greenish_blue.n.01 color
centimeter.n.01 unitofmeasurement
stint.v.02 resourcemanagement
blueprint.n.02 technicaldrawing
hemophilia.n.01 medicalcondition
north_sea.n.01 geographicalfeature
white_man.n.01 person
examen.n.01 introspectionpractice
declaim.v.01 speechact
flavin.n.01 chemicalcompound
highway_code.n.01 trafficregulation
bauxite.n.01 mineral
term.n.02 timeinterval
drench.v.04 action
yoke.n.01 garmentaccessory
subversion.n.02 politicalaction
impoundment.n.01 legalaction
juneberry.n.01 fruitbearingplant
daphne.n.01 ornamentalshrub
deny.v.05 self-restraintaction
immunize.v.02 medicalprocedure
sigh.v.01 emotionalexpression
pernis.n.01 birdofprey
assimilation.n.02 culturalprocess
bagatelle.n.02 trivialobject
catalog.n.01 informationresource
malice.n.01 psychologicalstate
irish.n.03 language
kiribati.n.01 geographicalentity
chiasmal.a.01 chiasmalrelationship
settlor.n.01 legalentity
leaf.v.03 plantprocess
garden_tool.n.01 gardentool
resort.n.01 hotel
robbery_conviction.n.01 legaloutcome
tom.n.02 malecat
salal.n.01 plant
notary.n.01 legalprofessional
broadcasting.n.02 mediaactivity
salt.n.01 chemicalcompound
consult.v.01 action
ramification.n.04 branchingstructure
parliamentary_agent.n.01 parliamentaryagent
draco.n.03 genus
clocksmith.n.01 occupationalrole
bulletin.n.01 document
ulvaceae.n.01 greenalgae
rinse.n.02 washingprocess
heaviside_layer.n.01 ionosphericlayer
soursop.n.02 tropicalfruit
dasypodidae.n.01 mammal
trogoniformes.n.01 bird
unappetizing.a.01 culinaryquality
hercules'-club.n.01 ornamentalplant
diss.v.01 socialinteraction
board.n.09 gameaccessory
seaplane.n.01 aircraft
intersection.n.01 geometriclocation
bear_down.v.02 childbirthmethod
satirist.n.01 person
hermaphroditism.n.01 congenitalcondition
mullet.n.02 fish
taurotragus.n.01 animal
brass_hat.n.01 militaryofficer
british_commonwealth.n.01 politicalentity
statement.n.01 communication
ladle.v.01 action
close-order_drill.n.01 militarytacticalmaneuver
beta_software.n.01 softwarerelease
suriname_river.n.01 river
cover.v.09 tacticalaction
pythiaceae.n.01 fungi
sixpence.n.01 currency
balaenidae.n.01 animalfamily
plaster.v.05 coatingprocess
seminiferous_tubule.n.01 anatomicalstructure
trapper.n.01 professionalhunter
protium.n.01 treespecies
lucubration.n.01 literarywork
tagger.n.02 agent
rodentia.n.01 rodent
phoneme.n.01 linguisticunit
tamandua.n.01 animal
reprint.v.01 printingaction
bombast.n.01 rhetoric
luminary.n.01 inspirationsource
language.n.05 humancommunicationsystem
hindrance.n.02 obstruction
fregata.n.01 genus
reserve.v.03 action
compound.v.05 process
adhesive_material.n.01 adhesivematerial
fatigue.n.01 physicalcondition
solicitation.n.03 illegalactivity
gonad.n.01 biologicalorgan
striving.n.01 effort
omomyid.n.01 extinctprimate
transistorize.v.01 electronicprocessing
title_role.n.01 theatricalrole
batter.n.02 foodpreparation
set_ablaze.v.01 action
splintery.s.01 physicalcharacteristic
new_world_mouse.n.01 rodent
model.n.07 representation
set_up.v.04 preparation
chylomicron.n.01 microscopicparticle
coccothraustes.n.01 birdspecies
characterize.v.02 action
agdestis.n.01 plantgenus
complete.v.04 passcompletionaction
line_of_poetry.n.01 literaryelement
warm.v.02 action
emptying.n.01 action
recommence.v.01 action
street_arab.n.01 homelessindividual
vinifera_grape.n.02 cultivatedgrapevariety
floating-moss.n.01 aquaticplant
sweet_false_chamomile.n.01 herbaceousplant
gnaphalium.n.01 genus
cardamom.n.02 spice
saury.n.01 fish
secale.n.01 cerealplant
large_integer.n.01 mathematicalobject
genus_daphne.n.01 plantgenus
nick.n.02 prison
respiratory.a.01 biologicalprocess
fall_into.v.01 classification
port_of_entry.n.01 customsport
compare.v.01 action
pardon.n.02 legalterm
cambodian.a.01 culturalidentity
sylvester_ii.n.01 person
jackson.n.04 civilrightsleader
format.v.03 datastorageoperation
cinclus.n.01 genus
windshield_wiper.n.01 automotivecomponent
fastness.n.02 quality
ailanthus_silkworm.n.01 insect
energy.n.05 physicalhealthattribute
anode.n.01 electrode
street_clothes.n.01 apparel
monogenic_disorder.n.01 geneticcondition
augur.n.01 religiousofficial
pagrus.n.01 genus
spot.v.02 action
commander.n.03 navalofficer
zwingli.n.01 theologian
design.n.01 activity
banshee.n.01 mythologicalcreature
sock.n.01 clothingitem
wild.n.01 wildstate
belemnoidea.n.01 biologicaltaxon
lake_mead.n.01 reservoir
increase.n.03 changeevent
incline.v.03 physicalgesture
gobiidae.n.01 fish
purchase.n.02 transaction
fog.n.01 meteorologicalphenomenon
belo_horizonte.n.01 city
alpha_blocker.n.01 pharmaceuticaldrug
ready.a.01 stateofbeingprepared
embellishment.n.01 artistictechnique
operator.n.03 businessowner
reconcile.v.03 action
shamanism.n.01 religiouspractice
count.v.04 mathematicaloperation
talmudic_literature.n.01 literarywork
press_on.v.01 action
worm_gear.n.01 mechanicalcomponent
brisance.n.01 explosivephenomenon
aspirant.n.01 ambitiousperson
maximize.v.02 action
eira.n.01 genus
law.n.03 legalnorm
importune.v.01 behavior
trench.n.01 fortification
tug.v.02 action
federal_aviation_agency.n.01 governmentagency
sensitivity.n.01 physiologicalresponse
tempter.n.01 temptationagent
think.v.02 cognitiveprocess
radium_therapy.n.01 medicaltreatment
principe.n.01 island
india.n.01 country
limnocryptes.n.01 bird
competitive.a.01 abstractconcept
regalecidae.n.01 fish
subphylum.n.01 taxonomicrank
silver-bell_tree.n.01 tree
mania.n.01 motivation
draw_up.v.05 action
vituperation.n.01 verbalabuse
erithacus.n.01 bird
tragulus.n.01 genus
bias.v.01 influenceaction
sink.v.02 action
temperature_change.n.01 process
shtik.n.02 performancetechnique
litchi.n.02 fruit
atheism.n.01 philosophicaldoctrine
look.v.03 facialexpression
reproduce.v.02 biologicalprocess
profitable.a.01 financialconcept
discount.n.01 pricingadjustment
notropis.n.01 fish
polemonium.n.01 plantspecies
denunciation.n.01 socialaction
lactarius.n.01 mushroomgenus
airport.n.01 airport
salvation.n.04 concept
pancreatic_duct.n.01 anatomicalstructure
marsileaceae.n.01 plantfamily
calibrate.v.02 process
exocoetidae.n.01 fishfamily
supervene.v.01 event
barrenwort.n.01 plant
new_york_bay.n.01 geographicalfeature
cover.v.13 action
totemist.n.01 totemicindividual
mountainside.n.01 naturalfeature
pantry.n.01 storageroom
atrocity.n.02 criminalact
collide.v.03 event
detroit.n.01 city
testacea.n.01 organism
pia.n.01 plant
language.n.01 communicationsystem
stagnation.n.01 state
common_alder.n.01 treespecies
market_analyst.n.01 marketanalyst
illusion.n.02 cognitivephenomenon
rodolia.n.01 genus
cape_buffalo.n.01 animal
embrace.v.02 action
carbohydrate.n.01 biologicalcompound
sarcocystis.n.01 genus
true_lobster.n.01 marinecrustacean
mod.n.01 culturalmovement
marsupialia.n.01 biologicalclassification
vietnam_war.n.01 historicalevent
ziphiidae.n.01 whalefamily
priority.n.02 temporalpriority
spiderflower.n.01 floweringplant
genus_senna.n.01 genus
hibiscus.n.01 plant
buzz.v.04 action
field_game.n.01 fieldsport
sweet.a.01 tastecharacteristic
sagittal_suture.n.01 anatomicalstructure
ortalis.n.01 birdspecies
bismarckian.a.01 historicalfigure
watch.v.01 cognitiveaction
liege.n.03 city
advise.v.02 action
sitophylus.n.01 genus
louse_fly.n.01 parasiticinsect
industry.n.01 commercialenterprise
unquestionable.a.01 quality
masculine.a.02 genderrepresentation
fourteenth_amendment.n.01 constitutionalamendment
point.n.10 scoringunit
swordsmanship.n.01 martialart
titillate.v.02 emotion
etropus.n.01 fishgenus
boil_down.v.02 cookingmethod
magistrate.n.01 judicialauthority
tuille.n.01 protectiveequipment
opisthognathidae.n.01 fishfamily
papering.n.01 process
drum_brake.n.01 brakingmechanism
stock_index.n.01 financialinstrument
schaffneria.n.01 species
impersonator.n.01 person
shutter.n.01 cameracomponent
large_indefinite_quantity.n.01 largeindefinitequantity
crotaphytus.n.01 reptile
sack.v.01 militaryaction
outline.n.03 plan
mysore.n.01 city
forgiveness.n.02 concept
diplopoda.n.01 species
animal_tissue.n.01 biologicaltissue
racing_circuit.n.01 racingcircuit
dictator.n.02 politicalleader
umbrina.n.01 fish
gregory.n.02 person
fathead.n.01 foolishperson
browser.n.02 softwareapplication
shelf.n.01 furniture
address.n.02 location
theologian.n.01 theologian
comstock.n.01 moralreformer
give.v.03 transfer
trial.n.06 event
orator.n.01 person
drag_up.v.01 cognitiveprocess
mantle.v.01 action
snipe.n.01 bird
schedule.v.01 action
take_off.v.06 action
person.n.02 human
common_unicorn_plant.n.01 plantspecies
stable.a.01 quality
camper.n.02 recreationalvehicle
nautilus.n.01 nuclearsubmarine
helping.n.01 mealportion
consumption.n.03 economicactivity
hermitage.n.01 dwelling
barrage.n.02 militarytactic
terrace.n.03 residentialbuilding
fructify.v.03 process
agree.v.01 agreement
manichaeism.n.01 religion
pilferage.n.01 theft
thymus_gland.n.01 gland
massacre.v.01 violentevent
pediculati.n.01 marinefish
concentration.n.03 chemicalprocess
religious_movement.n.01 religiousmovement
misprint.v.01 action
worry.n.02 emotionalstate
natural_order.n.01 naturalsystem
mesoderm.n.01 germlayer
vet.v.04 veterinaryservice
new_world_sparrow.n.01 bird
evidence.n.03 legalevidence
rustle.v.01 soundaction
islam.n.01 religion
nymph.n.01 naturedeity
crash.n.05 computersystemevent
kelly.n.01 circusclown
everest.n.01 mountain
honesty.n.01 quality
naphtha.n.01 hydrocarbonmixture
desire.n.02 emotion
leftover.n.01 remnant
crotalidae.n.01 snake
angle.v.04 fishingtechnique
first.n.05 academicqualification
mysticeti.n.01 baleenwhale
title_deed.n.01 legaldocument
bang.v.02 soundevent
all_fours.n.01 cardgame
minstrel_show.n.01 performanceart
basil.n.02 saint
cytoskeleton.n.01 biologicalstructure
slice.v.03 action
sheik.n.01 arabcommunityleader
tarsioidea.n.01 taxonomicgroup
redecorate.v.01 activity
vanuatu.n.01 geopoliticalentity
acre-foot.n.01 watervolumemeasurement
press.v.07 action
doze.n.01 sleepingstate
townee.n.01 urbandwellers
benedict_xiv.n.01 religiousleader
white_wine.n.01 wine
anopheles.n.01 mosquito
hottentot_bread.n.01 plantediblepart
neurogenesis.n.01 biologicalprocess
pierce.n.01 politicalposition
unsociable.a.01 personalitytrait
lien.n.01 legalright
shame.n.02 emotionalstate
family.n.01 socialgroup
gerreidae.n.01 fishfamily
put_on.v.03 cookingaction
potamogetonaceae.n.01 aquaticplantfamily
picnic_area.n.01 recreationalarea
self-starter.n.02 startingsystemcomponent
trilliaceae.n.01 plantfamily
base_hit.n.01 baseballplay
squinter.n.01 personwithstrabismus
pseudacris.n.01 frogspecies
aeolis.n.01 ancientcoastalregion
carry.v.23 action
cleanness.n.01 stateofcleanliness
myelinization.n.01 biologicalprocess
afraid.a.01 emotion
collectible.n.01 collectibleitem
scotland.n.01 geographicallocation
iroquoian.n.01 languagefamily
traffic.v.01 illegalactivity
office-bearer.n.01 official
immunoglobulin_a.n.01 immunoglobulin
genus_chaenactis.n.01 taxonomicgenus
swab.v.01 cleaningaction
liparis.n.02 genus
size.n.02 measurement
conserve.v.03 resourcemanagementaction
parget.v.01 action
erase.v.03 digitalaction
carroll.n.01 author
elementary_geometry.n.01 mathematicaldiscipline
gloss.v.03 translationactivity
disagreeableness.n.02 personalitytrait
toboggan.n.01 sled
bunch.n.03 collection
susceptibility.n.01 condition
cnidaria.n.01 marineorganism
magnetization.n.01 physicalproperty
free_phagocyte.n.01 bloodcell
